,ticker, liabilities, equity, netincome, freecashflow, beta, ROE, debttoequity, assets, sector
0,MMM,26424,11563,4858,4152,1.1586,0.42013318342990574,2.2852200985903313,14277,"Industrial Goods"
1,ABT,45353,30897,477,NA,1.1118,0.01543839207690067,1.4678771401754216,20147,"Healthcare"
2,ABBV,65689,5097,5309,5776,1.3109,1.0415930939768492,12.887777123798312,21223,"Healthcare"
3,ABMD,98,452,52,24,1.6489,0.11504424778761062,0.2168141592920354,327,"Healthcare"
4,ACN,13740,8949,3445,NA,1.1239,0.384959213319924,1.5353670801206838,12097,"Technology"
5,ATVI,9206,9462,273,1190,0.8695,0.028852251109701965,0.9729444092158106,6520,"Technology"
6,ADBE,6076,8460,1694,963,1.2473,0.20023640661938535,0.7182033096926714,7248,"Technology"
7,AMD,2929,611,43,-232,2.2781,0.07037643207855974,4.7937806873977085,2622,"Technology"
8,AAP,5067,3415,476,NA,1.0117,0.13938506588579794,1.4837481698389459,5427,"Services"
9,AES,NA,NA,NA,727,0.6598,NA,NA,NA,"Utilities"
10,AMG,4880,3822,NA,933,1.3836,NA,1.2768184196755625,NA,"Financial"
11,AFL,112619,24598,NA,NA,0.8364,NA,4.578380356126514,NA,"Financial"
12,A,3595,4831,684,957,1.1799,0.14158559304491825,0.74415234941006,4169,"Healthcare"
13,APD,8381,10086,NA,29,0.7548,NA,0.8309537973428515,5877,"Basic Materials"
14,AKAM,1292,3311,NA,304,0.97,NA,0.39021443672606465,1309,"Technology"
15,ALK,7019,3721,1034,415,0.9372,0.277882289707068,1.8863208814834722,2146,"Services"
16,ALB,4076,3675,55,278,1.103,0.014965986394557823,1.1091156462585035,2478,"Basic Materials"
17,ARE,6154,5950,169,-403,0.759,0.028403361344537813,1.0342857142857143,NA,"Financial"
18,ALXN,NA,NA,443,NA,1.4151,NA,NA,NA,"Healthcare"
19,ALGN,627,1150,231,NA,1.7716,0.2008695652173913,0.5452173913043479,1157,"Healthcare"
20,ALLE,NA,NA,NA,NA,1.0255,NA,NA,NA,"Services"
21,AGN,NA,NA,NA,906,1.1128,NA,NA,NA,"Healthcare"
22,ADS,28830,1855,789,868,1.3924,0.4253369272237197,15.54177897574124,NA,"Services"
23,LNT,10006,4182,468,731,0.2808,0.11190817790530846,2.3926351028216164,905,"Utilities"
24,ALL,89871,22551,3189,NA,0.7157,0.14141279765864043,3.985233470799521,NA,"Financial"
